learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time,epochs,sampling_type
0.01,1e-07,True,20,24,Sigmoid,0.0757498368620872,0.0766674131155014,8192,2,100,sobol
0.01,1e-07,True,20,12,Sigmoid,0.0604225769639015,0.0766761898994445,512,0,100,sobol
0.01,1e-05,True,20,12,Sigmoid,0.0598287098109722,0.0767542421817779,512,0,100,sobol
0.01,1e-06,True,16,24,Sigmoid,0.0723124295473098,0.0768586248159408,2048,0,100,sobol
0.01,1e-06,True,12,12,Sigmoid,0.073823943734169,0.0769133865833282,2048,0,100,sobol
0.01,1e-07,True,8,6,Sigmoid,0.0743837431073188,0.0770226866006851,1024,0,100,sobol
0.01,1e-07,True,8,12,Sigmoid,0.0761209055781364,0.0770320668816566,8192,0,100,sobol
0.01,1e-05,True,20,6,Sigmoid,0.0365546159446239,0.0770342946052551,128,0,100,sobol
0.01,1e-07,True,16,24,Sigmoid,0.0668831616640091,0.0770991295576095,1024,0,100,sobol
0.01,1e-05,True,16,12,Sigmoid,0.0475244894623756,0.0775982141494751,256,0,100,sobol
0.01,1e-06,True,12,6,Sigmoid,0.0639777779579162,0.0776055306196212,512,0,100,sobol
0.01,0.0001,True,20,24,Sigmoid,0.0770226344466209,0.0777233988046646,8192,2,100,sobol
0.01,0.0001,True,12,24,Sigmoid,0.0727011635899543,0.0777920186519622,2048,0,100,sobol
0.01,1e-07,True,16,6,Sigmoid,0.0428739115595817,0.0781346261501312,128,0,100,sobol
0.01,1e-06,True,12,12,Sigmoid,0.0511026717722415,0.0782080218195915,256,0,100,sobol
0.01,0.0001,True,8,6,Sigmoid,0.0620627254247665,0.0790897458791732,256,0,100,sobol
0.01,1e-06,True,12,12,Sigmoid,0.0789548978209495,0.079203724861145,4096,0,100,sobol
0.01,1e-05,True,12,6,Sigmoid,0.0514807105064392,0.0792234763503074,128,0,100,sobol
0.01,1e-05,True,8,6,Sigmoid,0.0766445249319076,0.0794354975223541,2048,0,100,sobol
0.01,1e-05,True,8,6,Sigmoid,0.0654053837060928,0.0796345174312591,256,0,100,sobol
0.01,1e-05,True,20,24,Sigmoid,0.0758972689509391,0.0797372460365295,8192,2,100,sobol
0.01,0.0001,True,4,12,Sigmoid,0.0787088721990585,0.0799024626612663,4096,0,100,sobol
0.01,1e-05,True,20,24,Sigmoid,0.0807266905903816,0.0801364928483963,4096,1,100,sobol
0.01,1e-05,True,8,6,Sigmoid,0.0464784689247608,0.0801876932382583,128,0,100,sobol
0.01,0.0001,True,12,24,Sigmoid,0.0685659125447273,0.0802708715200424,1024,0,100,sobol
0.01,1e-05,True,16,24,Sigmoid,0.0766456797719001,0.0802908390760421,4096,1,100,sobol
0.01,1e-07,True,8,12,Sigmoid,0.0775239169597625,0.0802958905696868,2048,0,100,sobol
0.01,1e-07,True,16,12,Sigmoid,0.0640190690755844,0.080312930047512,512,0,100,sobol
0.01,1e-05,True,12,12,Sigmoid,0.0658178701996803,0.0805117189884185,512,0,100,sobol
0.01,1e-06,True,8,12,Sigmoid,0.0701333433389663,0.0805414095520973,512,0,100,sobol
0.01,0.0001,True,20,24,Sigmoid,0.0533275716006755,0.0807123929262161,512,0,100,sobol
0.01,1e-05,True,12,12,Sigmoid,0.076157122850418,0.080814778804779,1024,0,100,sobol
0.01,1e-06,True,8,6,Sigmoid,0.0737599804997444,0.0808842629194259,512,0,100,sobol
0.01,1e-07,True,8,12,Sigmoid,0.0716878026723861,0.0811478421092033,512,0,100,sobol
0.01,0.0001,True,8,12,Sigmoid,0.077405959367752,0.0811599493026733,1024,0,100,sobol
0.01,1e-07,True,12,24,Sigmoid,0.0775088369846344,0.08143100887537,2048,0,100,sobol
0.01,1e-07,True,8,6,Sigmoid,0.0799831673502922,0.0817112848162651,8192,0,100,sobol
0.01,0.0001,True,4,6,Sigmoid,0.0725089833140373,0.0817750319838523,256,0,100,sobol
0.01,1e-06,True,12,24,Sigmoid,0.0775005370378494,0.0820565968751907,4096,1,100,sobol
0.01,0.0001,True,20,12,Sigmoid,0.0470747090876102,0.0820979326963424,256,0,100,sobol
0.01,1e-07,True,20,12,Sigmoid,0.0434533692896366,0.0823110416531562,256,0,100,sobol
0.01,0.0001,True,20,24,Sigmoid,0.0758585482835769,0.082381971180439,1024,0,100,sobol
0.01,1e-06,True,12,6,Sigmoid,0.0491232387721538,0.0824530869722366,128,0,100,sobol
0.01,1e-05,True,20,12,Sigmoid,0.0498477183282375,0.0826977044343948,256,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,0.0479672066867351,0.0828734561800956,256,0,100,sobol
0.01,1e-07,True,20,24,Sigmoid,0.0547429211437702,0.0832723751664161,512,0,100,sobol
0.01,0.0001,True,20,24,Sigmoid,0.0798265412449836,0.0832858681678772,4096,1,100,sobol
0.01,1e-07,True,16,24,Sigmoid,0.0537227727472782,0.0834213197231292,512,0,100,sobol
0.01,1e-07,True,4,12,Sigmoid,0.0802115350961685,0.0834646001458168,1024,0,100,sobol
0.01,1e-05,True,16,24,Sigmoid,0.0679571479558944,0.0836360529065132,512,0,100,sobol
0.01,1e-06,True,20,12,Sigmoid,0.0824031382799148,0.083656720817089,4096,0,100,sobol
