learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size
0.01,1e-06,True,18,6,Sigmoid,6.414836406707764,6.3173933029174805,256
0.01,1e-07,True,16,6,Sigmoid,6.236619472503662,6.320569038391113,128
0.01,0.0001,True,16,24,Sigmoid,6.207416534423828,6.321798324584961,64
0.01,1e-06,True,18,24,Sigmoid,6.446547508239746,6.3363823890686035,1024
0.01,0.0001,True,16,6,Sigmoid,5.7330322265625,6.3552961349487305,64
0.01,1e-07,True,16,24,Sigmoid,6.4191365242004395,6.356593132019043,128
0.01,1e-06,True,14,24,Sigmoid,6.674880504608154,6.358685493469238,256
0.01,1e-07,True,14,24,Sigmoid,6.458807945251465,6.364015579223633,1024
0.01,0.0001,True,12,24,Sigmoid,6.372412204742432,6.365703105926514,64
0.01,1e-05,True,16,24,Sigmoid,5.538760185241699,6.395167350769043,16
0.01,1e-05,True,14,12,Sigmoid,6.682029724121094,6.418162822723389,256
0.01,0.0001,True,16,24,Sigmoid,6.538403511047363,6.423568248748779,1024
0.01,1e-05,True,16,12,Sigmoid,6.481431007385254,6.42708683013916,1024
0.01,0.0001,True,18,24,Sigmoid,6.735362529754639,6.427807807922363,256
0.01,1e-07,True,16,12,Sigmoid,6.491463661193848,6.427825927734375,512
0.01,1e-05,True,18,6,Sigmoid,4.669925689697266,6.4351019859313965,16
0.01,1e-07,True,18,6,Sigmoid,5.333980083465576,6.439545154571533,32
0.01,1e-07,True,16,6,Sigmoid,6.458146572113037,6.445066452026367,512
0.01,0.0001,True,18,12,Sigmoid,4.938175678253174,6.450852394104004,16
0.01,1e-05,True,18,24,Sigmoid,6.441946506500244,6.460142135620117,64
0.01,1e-06,True,18,24,Sigmoid,6.557518005371094,6.479598045349121,512
0.01,1e-06,True,18,12,Sigmoid,6.587628364562988,6.492377281188965,1024
0.01,1e-05,True,12,6,Sigmoid,6.496512413024902,6.510623931884766,128
0.01,1e-06,True,18,12,Sigmoid,5.948622226715088,6.510690689086914,32
0.01,1e-05,True,16,6,Sigmoid,6.390072822570801,6.518540859222412,128
0.01,1e-06,True,14,12,Sigmoid,6.619173526763916,6.519392967224121,1024
0.01,1e-05,True,16,24,Sigmoid,6.569803714752197,6.529477596282959,128
0.01,1e-05,True,20,6,Sigmoid,5.621960639953613,6.543473720550537,32
0.01,1e-06,True,16,6,Sigmoid,5.437358379364014,6.555742263793945,32
0.01,1e-07,True,14,6,Sigmoid,6.720451831817627,6.568480968475342,256
0.01,1e-05,True,16,6,Sigmoid,6.66682767868042,6.589188575744629,512
0.01,0.0001,True,18,12,Sigmoid,6.251468658447266,6.592196941375732,64
0.01,0.0001,True,18,6,Sigmoid,4.846167087554932,6.597855567932129,16
0.01,1e-05,True,16,24,Sigmoid,6.481301784515381,6.601142406463623,64
0.01,0.0001,True,18,24,Sigmoid,5.608451843261719,6.613031387329102,16
0.01,0.0001,True,14,24,Sigmoid,6.658054351806641,6.6341166496276855,128
0.01,1e-07,True,16,12,Sigmoid,5.25425910949707,6.636724472045898,16
0.01,1e-07,True,12,12,Sigmoid,6.672087669372559,6.64197301864624,512
0.01,1e-07,True,14,24,Sigmoid,6.712218761444092,6.643503189086914,128
0.01,0.0001,True,18,12,Sigmoid,6.583794593811035,6.651838779449463,128
0.01,1e-06,True,16,6,Sigmoid,6.693675994873047,6.669355392456055,512
0.01,0.0001,True,16,24,Sigmoid,5.873132228851318,6.676652431488037,16
0.01,1e-05,True,18,6,Sigmoid,6.4754252433776855,6.679152488708496,128
0.01,1e-07,True,16,12,Sigmoid,6.766290187835693,6.6897687911987305,1024
0.01,0.0001,True,16,6,Sigmoid,6.821469306945801,6.730982303619385,512
0.01,0.0001,True,14,12,Sigmoid,6.777116775512695,6.750617980957031,1024
0.01,1e-05,True,16,6,Sigmoid,6.801797866821289,6.757176876068115,1024
0.01,1e-06,True,16,24,Sigmoid,6.767045021057129,6.784550666809082,64
0.01,1e-07,True,12,24,Sigmoid,7.0743794441223145,6.7976179122924805,256
0.01,1e-06,True,18,6,Sigmoid,6.893126487731934,6.797851085662842,1024
