optimizer,learning_rate,weight_decay,beta_1,beta_2,eps,num_epochs,batch_size,layer_depth,n_layers,activation_function,train_error,test_error,training_set_size,train_time,version,scenario
adam,0.01,1e-06,0.9,0.99,1e-08,2000,256.0,4,6,Sigmoid,0.05896487832069397,0.07587262988090515,1024,21,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.05155397579073906,0.0764673501253128,512,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.023811452090740204,0.07652372121810913,256,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,4,12,Sigmoid,0.05276674032211304,0.07654447853565216,1024,8,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,256.0,4,6,Sigmoid,0.07153268158435822,0.07721123099327087,512,10,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,256.0,4,12,Sigmoid,0.07400751113891602,0.0772608071565628,512,18,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,128.0,16,6,Sigmoid,0.06826759874820709,0.0772654265165329,1024,39,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.04039246216416359,0.07739455252885818,512,4,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,128.0,8,6,Sigmoid,0.06803233176469803,0.07767151296138763,1024,38,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,128.0,4,6,Sigmoid,0.06893417984247208,0.07776973396539688,1024,38,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.027463633567094803,0.0784066766500473,512,4,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,256.0,8,6,Sigmoid,0.0881299152970314,0.07878143340349197,1024,21,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,4,12,Sigmoid,0.049291111528873444,0.07878638803958893,1024,8,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,4,6,Sigmoid,0.048186395317316055,0.078987255692482,512,4,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,4,6,Sigmoid,0.0660124272108078,0.07906069606542587,512,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.059745870530605316,0.07906819880008698,512,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,128.0,8,6,Sigmoid,0.0632508248090744,0.07922637462615967,512,19,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,256.0,4,6,Sigmoid,0.06995829194784164,0.07955287396907806,512,10,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,64.0,16,6,Sigmoid,0.08160895854234695,0.07987579703330994,1024,74,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,512.0,4,12,Sigmoid,0.0831485390663147,0.08036446571350098,1024,21,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,4,6,Sigmoid,0.04679851233959198,0.08036963641643524,512,4,1,projectile
adam,0.001,1e-06,0.9,0.99,1e-08,2000,128.0,16,6,Sigmoid,0.057329241186380386,0.08060340583324432,512,19,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,4,6,Sigmoid,0.056453924626111984,0.08069252222776413,1024,4,1,projectile
adam,0.001,1e-07,0.9,0.99,1e-08,2000,512.0,16,6,Sigmoid,0.06123989075422287,0.08090290427207947,1024,13,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,4,12,Sigmoid,0.0644511878490448,0.0810970589518547,512,8,1,projectile
