learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time,epochs,sampling_type
0.01,1e-05,True,20,12,Sigmoid,4.712536334991455,4.908427715301514,256,0,100,sobol
0.01,1e-07,True,20,12,Sigmoid,4.071916580200195,4.921640396118164,32,0,100,sobol
0.01,0.0001,True,20,12,Sigmoid,3.5293703079223633,4.932109832763672,16,0,100,sobol
0.01,1e-06,True,20,6,Sigmoid,4.595963478088379,4.935853004455566,128,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,4.144947528839111,4.944703102111816,32,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,3.3827383518218994,4.964282512664795,16,0,100,sobol
0.01,1e-05,True,20,24,Sigmoid,4.969689846038818,5.018594741821289,128,0,100,sobol
0.01,1e-05,True,20,24,Sigmoid,4.925786018371582,5.047018051147461,64,0,100,sobol
0.01,0.0001,True,20,12,Sigmoid,4.539769172668457,5.058342933654785,32,0,100,sobol
0.01,0.0001,True,20,24,Sigmoid,4.975656032562256,5.05932092666626,64,0,100,sobol
0.01,0.0001,True,20,12,Sigmoid,4.9817280769348145,5.066349029541016,256,0,100,sobol
0.01,1e-05,True,20,6,Sigmoid,4.913749694824219,5.070894241333008,256,0,100,sobol
0.01,1e-06,True,20,12,Sigmoid,5.0368571281433105,5.1178436279296875,256,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,5.02107572555542,5.123282432556152,512,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,5.056347846984863,5.12592887878418,1024,0,100,sobol
0.01,1e-05,True,20,24,Sigmoid,4.502427101135254,5.1684370040893555,16,0,100,sobol
0.01,1e-07,True,16,12,Sigmoid,5.1279425621032715,5.197652339935303,512,0,100,sobol
0.01,1e-05,True,20,6,Sigmoid,5.149264812469482,5.2067131996154785,512,0,100,sobol
0.01,1e-06,True,20,6,Sigmoid,4.488293647766113,5.259157657623291,32,0,100,sobol
0.01,1e-05,True,20,12,Sigmoid,5.123033046722412,5.284340858459473,128,0,100,sobol
0.01,1e-07,True,20,12,Sigmoid,5.079251766204834,5.357555389404297,64,0,100,sobol
0.01,1e-06,True,20,12,Sigmoid,5.324180603027344,5.378803730010986,1024,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,5.125370502471924,5.386259078979492,64,0,100,sobol
0.01,0.0001,True,16,24,Sigmoid,5.3765668869018555,5.3936028480529785,512,0,100,sobol
0.01,0.0001,True,20,6,Sigmoid,4.0096755027771,5.419009208679199,16,0,100,sobol
0.01,1e-07,True,16,24,Sigmoid,5.358266830444336,5.438699245452881,32,0,100,sobol
0.01,1e-06,True,20,12,Sigmoid,5.378811359405518,5.5267181396484375,128,0,100,sobol
0.01,1e-06,True,20,24,Sigmoid,5.052639484405518,5.532079696655273,16,0,100,sobol
0.01,0.0001,True,20,24,Sigmoid,5.434525966644287,5.535027503967285,128,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,5.480962753295898,5.587188720703125,256,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,4.814224720001221,5.609935283660889,32,0,100,sobol
0.01,1e-05,True,20,12,Sigmoid,4.686464786529541,5.612898349761963,16,0,100,sobol
0.01,0.0001,True,16,24,Sigmoid,5.476951599121094,5.6145853996276855,64,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,5.0739641189575195,5.623641490936279,32,0,100,sobol
0.01,1e-07,True,20,12,Sigmoid,4.596076011657715,5.626029014587402,16,0,100,sobol
0.01,1e-06,True,16,24,Sigmoid,5.514802932739258,5.652961730957031,64,0,100,sobol
0.01,1e-05,True,16,24,Sigmoid,5.649031639099121,5.685550689697266,64,0,100,sobol
0.01,1e-05,True,20,6,Sigmoid,4.218555450439453,5.725243091583252,16,0,100,sobol
0.01,1e-05,True,16,12,Sigmoid,5.697805881500244,5.766819953918457,512,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,4.281691551208496,5.798295021057129,16,0,100,sobol
0.01,1e-06,True,16,24,Sigmoid,5.745039939880371,5.808160305023193,256,0,100,sobol
0.01,0.0001,True,16,24,Sigmoid,5.262085914611816,5.8248724937438965,16,0,100,sobol
0.01,1e-06,True,16,12,Sigmoid,4.894583702087402,5.874954700469971,16,0,100,sobol
0.01,1e-07,True,16,6,Sigmoid,5.832345962524414,5.900998592376709,512,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,5.6585822105407715,5.969401836395264,64,0,100,sobol
0.01,1e-05,True,16,12,Sigmoid,5.421953201293945,5.984530448913574,32,0,100,sobol
0.01,1e-05,True,16,12,Sigmoid,5.554668426513672,5.989497184753418,64,0,100,sobol
0.01,0.0001,True,20,12,Sigmoid,5.762433052062988,6.012249946594238,64,0,100,sobol
0.01,0.0001,True,20,6,Sigmoid,5.070018768310547,6.015688419342041,32,0,100,sobol
0.01,1e-06,True,16,24,Sigmoid,6.062524318695068,6.080995082855225,1024,0,100,sobol
0.01,1e-07,True,16,6,Sigmoid,6.030141830444336,6.085086822509766,1024,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,5.842129707336426,6.089590072631836,64,0,100,sobol
0.01,1e-05,True,20,12,Sigmoid,5.7062273025512695,6.093414306640625,64,0,100,sobol
0.01,1e-06,True,12,6,Sigmoid,5.8636474609375,6.10545539855957,128,0,100,sobol
0.01,1e-07,True,16,12,Sigmoid,5.8188066482543945,6.125736236572266,32,0,100,sobol
0.01,1e-05,True,16,12,Sigmoid,6.170530796051025,6.215341567993164,1024,0,100,sobol
0.01,1e-06,True,16,12,Sigmoid,5.657847881317139,6.243416786193848,32,0,100,sobol
0.01,1e-05,True,16,24,Sigmoid,5.871240139007568,6.260726451873779,16,0,100,sobol
0.01,1e-07,True,16,12,Sigmoid,6.12115478515625,6.264349937438965,128,0,100,sobol
0.01,1e-06,True,16,24,Sigmoid,6.18276309967041,6.335993766784668,32,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,6.341331481933594,6.376764297485352,512,0,100,sobol
0.01,1e-07,True,16,24,Sigmoid,5.954559326171875,6.40047550201416,16,0,100,sobol
0.01,1e-06,True,20,12,Sigmoid,5.412809371948242,6.44155740737915,16,0,100,sobol
0.01,1e-05,True,16,12,Sigmoid,5.410305976867676,6.457217216491699,16,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,6.416157245635986,6.510685920715332,128,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,6.275558948516846,6.512712478637695,128,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,6.254932880401611,6.536556720733643,64,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,6.530266761779785,6.5847673416137695,512,0,100,sobol
0.01,1e-07,True,16,6,Sigmoid,5.600803375244141,6.628801345825195,32,0,100,sobol
0.01,1e-06,True,20,12,Sigmoid,5.880633354187012,6.630799293518066,32,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,6.473367214202881,6.660758018493652,128,0,100,sobol
0.01,0.0001,True,16,24,Sigmoid,6.628879547119141,6.666741371154785,128,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,6.586713790893555,6.705168724060059,256,0,100,sobol
0.01,0.0001,True,12,24,Sigmoid,6.751404762268066,6.775813102722168,512,0,100,sobol
0.01,0.0001,True,12,6,Sigmoid,6.449431419372559,6.79692268371582,64,0,100,sobol
0.01,1e-07,True,16,24,Sigmoid,6.744250297546387,6.809345245361328,64,0,100,sobol
0.01,1e-05,True,16,12,Sigmoid,6.722965240478516,6.8156890869140625,256,0,100,sobol
0.01,1e-06,True,16,24,Sigmoid,6.799443244934082,6.8346943855285645,512,0,100,sobol
0.01,1e-07,True,12,6,Sigmoid,6.430332183837891,6.848529815673828,32,0,100,sobol
0.01,1e-05,True,16,24,Sigmoid,6.856013774871826,6.877021789550781,1024,0,100,sobol
0.01,1e-07,True,16,6,Sigmoid,6.749581336975098,6.939877033233643,128,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,5.673336029052734,6.951803684234619,16,0,100,sobol
0.01,1e-06,True,12,12,Sigmoid,6.892502307891846,6.980330944061279,256,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,6.4044928550720215,6.984254837036133,32,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,6.845606327056885,6.984323501586914,256,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,6.106237888336182,6.9939165115356445,16,0,100,sobol
0.01,1e-07,True,16,6,Sigmoid,5.817358493804932,7.006902694702148,16,0,100,sobol
0.01,1e-06,True,16,12,Sigmoid,6.863243103027344,7.01110315322876,128,0,100,sobol
0.01,1e-05,True,20,12,Sigmoid,6.179612159729004,7.093612194061279,32,0,100,sobol
0.01,1e-05,True,16,24,Sigmoid,7.143274307250977,7.101701736450195,128,0,100,sobol
0.01,0.0001,True,12,24,Sigmoid,7.029482841491699,7.1146321296691895,256,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,6.6679229736328125,7.115391254425049,32,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,6.770964622497559,7.174225330352783,64,0,100,sobol
0.01,1e-07,True,12,12,Sigmoid,6.945574760437012,7.18485164642334,32,0,100,sobol
0.01,0.0001,True,12,6,Sigmoid,7.073982238769531,7.201527118682861,256,0,100,sobol
0.01,1e-07,True,16,24,Sigmoid,7.181055068969727,7.203746318817139,1024,0,100,sobol
0.01,1e-07,True,16,12,Sigmoid,7.201066017150879,7.234598159790039,1024,0,100,sobol
0.01,0.0001,True,16,24,Sigmoid,7.203188419342041,7.235684394836426,1024,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,7.124746322631836,7.287788391113281,128,0,100,sobol
0.01,1e-07,True,16,6,Sigmoid,7.024279594421387,7.297121524810791,64,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,7.187573432922363,7.311869621276856,256,0,100,sobol
0.01,1e-05,True,12,24,Sigmoid,7.241877555847168,7.322030544281006,128,0,100,sobol
0.01,1e-05,True,12,6,Sigmoid,6.996146202087402,7.326409339904785,64,0,100,sobol
0.01,1e-06,True,16,6,Sigmoid,7.305202960968018,7.346022129058838,1024,0,100,sobol
0.01,1e-06,True,16,12,Sigmoid,7.246991634368896,7.35231876373291,256,0,100,sobol
0.01,1e-07,True,16,24,Sigmoid,7.257359981536865,7.353802680969238,512,0,100,sobol
0.01,0.0001,True,16,24,Sigmoid,7.155522346496582,7.3694000244140625,32,0,100,sobol
0.01,1e-07,True,12,12,Sigmoid,7.1665191650390625,7.383870601654053,64,0,100,sobol
0.01,1e-06,True,12,12,Sigmoid,7.214114189147949,7.395380973815918,128,0,100,sobol
0.01,1e-06,True,8,12,Sigmoid,7.286086082458496,7.409083843231201,64,0,100,sobol
0.01,1e-07,True,16,6,Sigmoid,7.344871520996094,7.434953689575195,256,0,100,sobol
0.01,1e-07,True,16,12,Sigmoid,7.13929557800293,7.437312126159668,64,0,100,sobol
0.01,1e-07,True,12,12,Sigmoid,7.371695518493652,7.447984218597412,1024,0,100,sobol
0.01,1e-05,True,12,6,Sigmoid,7.339160919189453,7.459249973297119,256,0,100,sobol
0.01,1e-05,True,12,6,Sigmoid,7.064533710479736,7.47113561630249,32,0,100,sobol
0.01,1e-05,True,12,12,Sigmoid,7.278794288635254,7.47625732421875,128,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,7.461706638336182,7.545778751373291,512,0,100,sobol
0.01,0.0001,True,12,6,Sigmoid,7.51831579208374,7.561835289001465,1024,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,6.449468612670898,7.612206935882568,16,0,100,sobol
0.01,1e-07,True,12,24,Sigmoid,7.625960826873779,7.631405830383301,512,0,100,sobol
0.01,1e-06,True,12,6,Sigmoid,7.275765895843506,7.636530876159668,64,0,100,sobol
0.01,0.0001,True,12,12,Sigmoid,7.437871932983398,7.640048027038574,64,0,100,sobol
0.01,1e-06,True,12,24,Sigmoid,7.626016139984131,7.666537284851074,1024,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,7.663465976715088,7.700489044189453,1024,0,100,sobol
0.01,1e-06,True,16,24,Sigmoid,7.667311668395996,7.721579551696777,128,0,100,sobol
0.01,1e-06,True,12,6,Sigmoid,7.688736915588379,7.742616653442383,512,0,100,sobol
0.01,1e-05,True,16,12,Sigmoid,7.640942096710205,7.763002395629883,128,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,7.733323097229004,7.779029846191406,1024,0,100,sobol
0.01,1e-06,True,12,24,Sigmoid,7.44111442565918,7.798205375671387,16,0,100,sobol
0.01,1e-07,True,12,6,Sigmoid,7.670015335083008,7.822593688964844,256,0,100,sobol
0.01,1e-05,True,16,24,Sigmoid,7.780520439147949,7.850184917449951,256,0,100,sobol
0.01,1e-05,True,12,12,Sigmoid,7.830660820007324,7.857558727264404,1024,0,100,sobol
0.01,0.0001,True,12,24,Sigmoid,7.761975288391113,7.8762712478637695,64,0,100,sobol
0.01,1e-07,True,12,6,Sigmoid,7.709988594055176,7.878208637237549,64,0,100,sobol
0.01,0.0001,True,16,24,Sigmoid,7.9049248695373535,7.933191299438477,256,0,100,sobol
0.01,1e-06,True,12,6,Sigmoid,7.943272590637207,7.959025859832764,1024,0,100,sobol
0.01,1e-06,True,16,24,Sigmoid,7.880976676940918,7.969496726989746,16,0,100,sobol
0.01,1e-05,True,12,24,Sigmoid,8.034360885620117,8.040739059448242,1024,0,100,sobol
0.01,1e-06,True,12,24,Sigmoid,7.984280586242676,8.068279266357422,32,0,100,sobol
0.01,1e-05,True,12,6,Sigmoid,8.043171882629395,8.089225769042969,1024,0,100,sobol
0.01,1e-06,True,16,12,Sigmoid,8.070531845092773,8.089643478393555,1024,0,100,sobol
0.01,0.0001,True,12,24,Sigmoid,8.108343124389648,8.139841079711914,1024,0,100,sobol
0.01,0.0001,True,12,12,Sigmoid,8.10372257232666,8.19524097442627,128,0,100,sobol
0.01,1e-06,True,16,12,Sigmoid,8.106954574584961,8.27340030670166,64,0,100,sobol
0.01,1e-05,True,12,24,Sigmoid,8.2329683303833,8.294379234313965,256,0,100,sobol
0.01,1e-07,True,12,12,Sigmoid,8.309995651245117,8.358792304992676,512,0,100,sobol
