learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time,epochs,sampling_type
0.01,1e-06,True,8,24,Sigmoid,0.0123765505850315,0.0156080154702067,4096,11,1000,sobol
0.01,1e-06,True,16,12,Sigmoid,0.0073155630379915,0.0156779587268829,512,2,1000,sobol
0.001,1e-06,True,20,6,Sigmoid,0.0144647872075438,0.0157540068030357,4096,5,1000,sobol
0.01,1e-07,True,8,6,Sigmoid,0.0121591426432132,0.0159322321414947,4096,3,1000,sobol
0.01,1e-06,True,8,24,Sigmoid,0.0089722359552979,0.0159542132169008,1024,5,1000,sobol
0.01,1e-05,True,8,12,Sigmoid,0.0073116887360811,0.0159568302333354,1024,2,1000,sobol
0.01,0.0001,True,16,24,Sigmoid,0.0141590675339102,0.0159667395055294,8192,24,1000,sobol
0.01,0.0001,True,12,6,Sigmoid,0.0159245394170284,0.0160017423331737,1024,1,1000,sobol
0.01,1e-07,True,8,6,Sigmoid,0.0084133939817547,0.016114791855216,1024,1,1000,sobol
0.01,1e-07,True,16,12,Sigmoid,0.0083727957680821,0.0161764398217201,512,2,1000,sobol
0.01,1e-07,True,12,12,Sigmoid,0.0117383487522602,0.0161773934960365,1024,2,1000,sobol
0.01,0.0001,True,16,12,Sigmoid,0.0171795263886451,0.0162007771432399,2048,5,1000,sobol
0.01,1e-06,True,12,6,Sigmoid,0.0136316828429698,0.0162989944219589,4096,3,1000,sobol
0.001,1e-06,True,16,6,Sigmoid,0.0138718131929636,0.0163007713854312,4096,4,1000,sobol
0.001,0.0001,True,16,6,Sigmoid,0.0143565293401479,0.0163072012364864,4096,4,1000,sobol
0.01,1e-06,True,12,24,Sigmoid,0.013185454532504,0.0163259021937847,2048,9,1000,sobol
0.01,0.0001,True,12,12,Sigmoid,0.0110482154414057,0.016393844038248,512,2,1000,sobol
0.001,1e-06,True,16,6,Sigmoid,0.011464400216937,0.0164526235312223,1024,1,1000,sobol
0.001,1e-05,True,20,6,Sigmoid,0.0136104058474302,0.0165208429098129,8192,8,1000,sobol
0.01,0.0001,True,16,12,Sigmoid,0.0136173954233527,0.0165747553110122,512,2,1000,sobol
0.01,1e-07,True,20,12,Sigmoid,0.0154467187821865,0.0166328698396682,4096,9,1000,sobol
0.01,0.0001,True,12,24,Sigmoid,0.011924423277378,0.0166445598006248,2048,9,1000,sobol
0.01,1e-06,True,12,12,Sigmoid,0.0169016476720571,0.0166901238262653,8192,13,1000,sobol
0.01,1e-05,True,16,6,Sigmoid,0.0135026965290308,0.0167007949203252,512,1,1000,sobol
0.01,1e-05,True,20,12,Sigmoid,0.0154998674988746,0.0167640186846256,2048,6,1000,sobol
0.001,1e-07,True,20,6,Sigmoid,0.0097916033118963,0.0168677940964698,1024,1,1000,sobol
0.01,1e-06,True,20,24,Sigmoid,0.0106272231787443,0.0168731529265642,4096,20,1000,sobol
0.01,1e-06,True,12,6,Sigmoid,0.0059801242314279,0.0169184058904647,256,1,1000,sobol
